Id,SalePrice
1461,209424354.23813972
1462,257201494.34625608
1463,249347801.21408218
1464,179776806.18074
1465,89919126.26087385
1466,180167790.9194782
1467,143679647.36313334
1468,151290198.27017397
1469,183353305.8412243
1470,151229304.37031868
1471,105337430.65945579
1472,29817356.41823021
1473,29805985.132487528
1474,40674866.42317016
1475,40627308.31053775
1476,231875082.1038851
1477,232276578.16475868
1478,207674008.44056976
1479,254677563.67588142
1480,257971190.1987696
1481,246168670.24073476
1482,128352360.24832113
1483,333594874.1093836
1484,57356593.06364329
1485,239784286.19260895
1486,154469950.71822333
1487,314510046.7668889
1488,161910108.790309
1489,165967517.72752774
1490,188150717.34399098
1491,214860608.87654036
1492,176510352.28350642
1493,277927452.91542864
1494,237012022.57676673
1495,200703785.35326535
1496,86869600.18837497
1497,62979340.17459751
1498,57548730.57529541
1499,45438427.47400589
1500,45437614.29746854
1501,53337580.10077361
1502,42877322.327522784
1503,231765799.62923726
1504,132849882.87167306
1505,144055259.01750618
1506,188417228.06336752
1507,194505548.76087546
1508,339816375.15402114
1509,172913032.48406386
1510,172916922.29335675
1511,178339376.23725978
1512,174399783.89078358
1513,190998436.86166847
1514,239031091.7920931
1515,175206135.68001217
1516,313110055.0936282
1517,205060324.746486
1518,148823072.83109945
1519,147619050.45012873
1520,144896946.32427132
1521,193209576.01688933
1522,180764099.4850066
1523,150870736.23839015
1524,197281938.48555502
1525,196267901.54405466
1526,244886198.92250276
1527,142135394.74998128
1528,145171873.47469166
1529,137407201.32510942
1530,175885320.68179065
1531,86228605.59834075
1532,80497965.46206112
1533,104367750.00243084
1534,124127706.71333869
1535,213588780.30618823
1536,148313109.302382
1537,173892193.6874793
1538,172924529.391546
1539,162107872.89262438
1540,162884631.56854105
1541,190253763.97162592
1542,104814559.49933536
1543,140302635.4485598
1544,89793197.16613322
1545,107879475.04630229
1546,107874860.68152629
1547,114407659.8242972
1548,107881263.84565523
1549,112203521.23118797
1550,112214331.08890076
1551,110051772.86372907
1552,145733983.17024997
1553,232538540.56323564
1554,54900058.85957892
1555,275232205.77453786
1556,191538163.82893345
1557,178294261.8677945
1558,107866949.77747764
1559,115971377.7980603
1560,108739104.12814926
1561,194108304.36604157
1562,140385415.23150066
1563,140969408.7313822
1564,133607760.93759179
1565,202310072.30658993
1566,361962720.9273131
1567,166715569.2304728
1568,308126990.36261904
1569,335484179.12238836
1570,206846854.02548292
1571,168415220.66090667
1572,171543095.0410125
1573,315407679.88755035
1574,201808064.1284225
1575,215968032.86420795
1576,222877670.05090362
1577,132472780.89311709
1578,256635822.33586785
1579,200088446.12223053
1580,168199705.03207788
1581,274784062.4339083
1582,134602552.58587548
1583,187266291.75969464
1584,168907584.52198747
1585,79603050.7065266
1586,158009920.89444062
1587,159205517.76774344
1588,180930608.1052615
1589,212504948.2493695
1590,113382442.17477986
1591,115247465.21064556
1592,87162886.52729718
1593,142027836.99153116
1594,129563819.1320169
1595,177235535.17325327
1596,188338472.6362951
1597,281320258.04205626
1598,354398959.017692
1599,70080863.57942528
1600,70075348.49795967
1601,146749309.27992973
1602,164602404.7732763
1603,156836380.86495218
1604,68387244.47520748
1605,199185829.64074555
1606,173285793.71869335
1607,230012849.67371514
1608,214445416.77521047
1609,176603691.7441006
1610,176576326.40565386
1611,275911246.435128
1612,182219798.36999923
1613,214042616.60074547
1614,42722080.95678456
1615,26102091.168022327
1616,33755175.8763054
1617,33569408.033286735
1618,125071438.59586462
1619,232303718.19046944
1620,138639726.13710946
1621,188710675.53082615
1622,189956138.26030403
1623,178251529.4390474
1624,233672230.52807057
1625,234446526.1216686
1626,183782272.24465054
1627,183403888.68585712
1628,212592170.71116567
1629,151259596.69232464
1630,131390931.75998119
1631,132834451.30835043
1632,144281504.50395548
1633,160706821.58688617
1634,135013196.59340632
1635,158546545.2930475
1636,130471750.65278406
1637,214513083.51248324
1638,238891583.72006223
1639,196943158.79682904
1640,223349143.50760993
1641,199828118.44440177
1642,125995217.52305886
1643,135017670.0414877
1644,152546165.66908172
1645,168902191.45349273
1646,182686642.4568088
1647,199112561.27200982
1648,140940875.65709916
1649,153206225.96138322
1650,126619133.57074971
1651,162051892.76979414
1652,29820949.113968983
1653,29821144.4710053
1654,41187987.77165897
1655,40663738.46742965
1656,41915704.43003771
1657,42199988.42455702
1658,42191675.79243781
1659,37458965.551398054
1660,192952565.00392544
1661,257182853.38461578
1662,222700662.741624
1663,222690426.1371195
1664,247016239.4855273
1665,208725434.5142305
1666,304331643.1034662
1667,420551596.13918716
1668,186864351.81661707
1669,195972924.83485872
1670,243710123.0088409
1671,232196822.63681832
1672,275554448.9853528
1673,239164881.18135184
1674,174024293.69911993
1675,124227777.9564099
1676,92048754.28687519
1677,185717506.99122196
1678,267636890.91581172
1679,275303589.5921602
1680,133050942.53667672
1681,116440869.27673256
1682,302524762.4429642
1683,62377433.59490685
1684,196936421.51189226
1685,160614907.2628098
1686,56978353.000590496
1687,169926994.7986565
1688,143754250.6628809
1689,182433552.4356345
1690,161483796.85651198
1691,147185733.22039464
1692,232435711.842599
1693,175345556.86816955
1694,151863235.48749194
1695,139511243.68829086
1696,286738023.27063847
1697,141281813.73520702
1698,229398801.5953131
1699,193791520.85269764
1700,163677825.88575178
1701,210781326.02671716
1702,201773716.70081788
1703,183929030.78298292
1704,182564847.05995303
1705,164630311.79018846
1706,200652053.686601
1707,143902598.9241212
1708,155602937.58787155
1709,227284469.5061241
1710,135017710.09718767
1711,191113968.81605512
1712,146324950.1191561
1713,191510193.90291008
1714,157346537.14771408
1715,146334240.5848166
1716,173008449.41824502
1717,134998479.0768419
1718,134959924.6231347
1719,191524676.53287888
1720,182740790.8863771
1721,235642578.2714907
1722,235618682.94651604
1723,224409510.120785
1724,131920425.97070953
1725,207145458.8493481
1726,138674908.05161878
1727,129101181.5886531
